0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0, 4.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 2.5, 3.5, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0
0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 1.25, 2.25, 0.0, 0.0, 3.5, 0.0
0.0, 0.0, 0.0, 4.0, 0.0, 0.5, 4.0, 0.0, 0.0, 0.0, 4.0, 0.0
0.0, 0.0, 0.0, 3.5, 0.0, 2.25, 2.0, 0.0, 0.0, 0.5, 4.0, 0.0
0.0, 0.0, 0.0, 1.5, 0.0, 0.25, 0.0, 0.0, 0.0, 3.5, 0.5, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.25, 0.0, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
