0 180 240 0 0 180 0 0 0 0 60 60 120 120 0 0 0 240 60 0 0 60 0 0 60 240 0 180 0 0 0 0
0 0 240 0 120 60 0 0 0 0 240 60 60 180 0 0 0 120 0 0 0 180 0 0 0 240 0 240 0 0 0 60
180 0 0 0 0 180 0 240 0 0 0 0 0 60 120 0 0 180 240 0 0 120 0 0 0 0 60 0 240 0 240 240
60 180 240 0 0 240 0 0 0 0 0 0 120 120 0 0 0 240 180 0 0 60 0 0 60 240 0 180 0 0 0 0
60 60 0 60 120 60 240 0 0 240 120 180 0 0 0 60 0 0 0 0 60 60 180 60 0 0 60 60 120 0 60 60
0 0 60 0 0 180 0 0 240 0 60 0 240 240 0 120 0 0 0 0 60 240 0 0 180 0 0 0 0 0 0 0
120 0 0 0 0 240 0 240 0 0 0 0 0 0 0 0 0 180 240 60 0 120 0 0 0 120 0 0 240 0 120 240
60 120 0 120 0 240 0 240 0 0 0 60 60 0 0 60 0 240 120 0 0 0 0 120 0 0 60 0 120 180 0 0
0 0 0 0 60 120 0 60 60 0 60 60 180 240 0 180 0 0 0 0 0 180 0 0 60 60 0 0 0 0 0 0
0 0 0 0 240 0 0 180 0 0 0 0 0 0 120 60 0 0 120 0 60 180 0 0 0 0 0 0 240 0 60 240
